urdu,roman_urdu
وائی فائی اتنی سلو ہے کہ کچھ ڈاؤن لوڈ بھی نہیں ہو رہا ٹھیک سے,wifi itni slow hai ke kuch download bhi nahi ho raha theek se
جب وائی فائی اور موبائل ڈیٹا دونوں ہوں تو فون وائی فائی پریفر کرتا ہے,jab wifi aur mobile data dono ho to phone wifi prefer karta hai
کافی شاپ کی وائی فائی اتنی سلو ہے کہ کام نہیں ہو سکتا اُس پہ,coffee shop ki wifi itni slow hai ke kaam nahi ho sakta uspe
وائی فائی بند کرو رات کو ورنہ سب رات بھر فونز استعمال کرتے رہیں گے,wifi band karo raat ko warna sab raat bhar phones use karte rahenge
نئے روٹر سے وائی فائی کی رینج بھی بڑھ گئی اور سپیڈ بھی,naye router se wifi ki range bhi badh gayi aur speed bhi
میرا لیپ ٹاپ چارج نہیں ہو رہا، چارجر چیک کرو پہلے,"mera laptop charge nahi ho raha, charger check karo pehle"
لیپ ٹاپ سلو ہو گیا ہے، ری اسٹارٹ کرو یا ڈسک کلین کرو,"laptop slow ho gaya hai, restart karo ya disk clean karo"
آفس میں اپنا لیپ ٹاپ لانا پڑے گا کیونکہ شیئرڈ پی سی اویلیبل نہیں,office mein apna laptop lana padega kyun ke shared PC available nahi
اُس نے نیا گیمنگ لیپ ٹاپ لیا ہے، بہت ایکسپینسیو تھا لیکن اچھا ہے,"usne naya gaming laptop liya hai, bahut expensive tha lekin accha hai"
لیپ ٹاپ کی بیٹری بہت جلدی ختم ہوتی ہے، پلگ پاس میں رکھو,"laptop ki battery bahut jaldi khatam hoti hai, plug paas mein rakho"
یہ ایپ بہت بیٹری استعمال کرتی ہے، بیک گراؤنڈ میں بند کرو اُسے,"yeh app bahut battery use karti hai, background mein band karo isko"
نئی ایپ انسٹال کی ہے جو ایکسپینسز ٹریک کرتی ہے، کافی یوزفل ہے,"nai app install ki hai jo expenses track karti hai, kafi useful hai"
اِس ایپ کی ریٹنگ بہت کم ہے، کوئی اور ڈھونڈو کام کے لیے,"is app ki rating bahut kam hai, koi aur dhundo kaam ke liye"
ایپ اپڈیٹ آنے کے بعد سے یہ ٹھیک سے کام نہیں کر رہی,app update aane ke baad se yeh theek se kaam nahi kar rahi
اگر ایپ فورس کلوز کر دو تو دوبارہ کھلتی ہے ٹھیک سے عموماً,agar app force close kar do to dobara khulti hai theek se usually
اِس ایپ کے ذریعے پیمنٹ کرنا سیف ہے یا نہیں، پتہ نہیں مجھے,"is app ke zariye payment karna safe hai ya nahi, pata nahi mujhe"
سسٹم اپڈیٹ آ گئی ہے، کر لو ورنہ سکیورٹی اشوز ہو سکتے ہیں,"system update aa gaya hai, karo lo warna security issues ho sakte hain"
اپڈیٹ کرنے کے بعد کچھ فیچرز بھی چینج ہو گئے، ایڈجسٹمنٹ لگتی ہے,"update karne ke baad kuch features bhi change ho gaye, adjustment lagti hai"
فون اپڈیٹ کرو آج ورنہ بعد میں اور بھی سلو ہو جائے گا,phone update karo aaj warna baad mein aur bhi slow ho jaayega
یہ ایپ اپڈیٹ نہیں کروں گا کیونکہ پرانا ورژن زیادہ اچھا تھا,yeh app update nahi karunga kyunke purana version zyada acha tha
آٹومیٹک اپڈیٹس بند کرو ورنہ ڈیٹا ضائع ہوتا ہے بیک گراؤنڈ میں,automatic updates band karo warna data waste hota hai background mein
اپڈیٹ کے بعد ایپ کریش ہو رہی تھی لیکن ری اسٹارٹ سے ٹھیک ہو گئی,update ke baad app crash ho rahi thi lekin restart se theek ho gayi
اسکرین شاٹ لو اُس کی پوسٹ کا ورنہ وہ ڈیلیٹ کر دے گا بعد میں,screenshot lo uski post ka warna woh delete kar dega baad mein
یار اسکرین شاٹ بھیج دو وہ کنورسیشن کی، مَیں دیکھ لوں,"yaar screenshot bhej do wo conversation ki, main dekh lun"
اسکرین شاٹ لینے کے بعد کراپ کر کے بھیجو، پورا اسکرین نہیں چاہیے,"screenshot lene ke baad crop karke bhejo, poora screen nahi chahiye"
اُس نے میرے اسکرین شاٹ کی اسکرین شاٹ لی اور سارے گروپ میں شیئر کر دیا,usne mere screenshot ki screenshot li aur sara group mein share kar diya
جو اسکرین شاٹس لیے ہیں اُنہیں فولڈر میں سیو کرو ورنہ مکس ہو جائیں گے,jo screenshots liye hain unhe folder mein save karo warna mix ho jaayenge
ای میل چیک نہیں کی تھی اور اہم میسج مس ہو گیا,email check nahi ki thi aur important message miss ho gaya
آفس کی ای میل الگ رکھنی چاہیے پرسنل سے، مکس مت کرو,"office ki email alag rakhni chahiye personal se, mix mat karo"
اُس نے ای میل میں اٹیچمنٹ بھیجی ہے، ڈاؤن لوڈ کر کے دیکھو,"usne email mein attachment bheji hai, download karke dekho"
اسپیم فولڈر چیک کرو، کبھی کبھی ریل ای میلز وہاں بھی چلی جاتی ہیں,"spam folder check karo, kabhi kabhi real emails wahan bhi chali jaati hain"
کل تک ای میل بھیج دو نہیں تو اپلیکیشن لیٹ ہو جائے گی,kal tak email send kar do nahi to application late ho jaayegi
ای میل کا فارمیٹ ٹھیک سے لکھنا ہوتا ہے پروفیشنل میں,email ka format theek se likhna hota hai professional mein
کل انٹرویو ہے، ڈریس ٹھیک سے چوز کرو اور ٹائم پہ پہنچو,"kal interview hai, dress theek se choose karo aur time pe pohoncho"
انٹرویو میں پوچھا گیا کہ آپ کی سب سے بڑی ویک نیس کیا ہے,interview mein poochha gaya ke aap ka sabse bada weakness kya hai
اُس نے تین انٹرویوز دیے لیکن کسی میں سلیکٹ نہیں ہوا ابھی تک,usne teen interviews diye lekin kisi mein select nahi hua abhi tak
انٹرویو کی پریپریشن کرو پہلے، پریکٹس کوئیسچنز بھی ہوتی ہیں آن لائن,"interview ki preparation karo pehle, practice questions bhi hoti hain online"
پہلی بار انٹرویو دے رہا ہوں، بہت گھبرا رہا ہوں یار,"pehli baar interview de raha hun, bohot ghabra raha hun yaar"
آن لائن انٹرویو میں بیک گراؤنڈ ٹھیک رکھو اور لائٹ کا دھیان رکھو,online interview mein background theek rakho aur light ka dhyan raho
جم ممبرشپ لے لی ہے لیکن جاتا صرف دو تین بار ہفتے میں ہوں,gym membership le li hai lekin jaata sirf do teen baar hafte mein hun
جم میں ٹرینر نے کہا کہ فارم صحیح کرو ورنہ انجری ہو گی,gym mein trainer ne kaha ke form sahi karo warna injury hogi
اگر جم نہیں جا سکتے تو گھر پہ بھی ورک آؤٹ کر سکتے ہو,agar gym nahi ja sakte to ghar pe bhi workout kar sakte ho
جم کے بعد اتنی بھوک لگتی ہے کہ سب کچھ کھا لیتا ہوں,gym ke baad itni bhook lagti hai ke sab kuch khaa leta hun
یار جم ساتھ چلتے ہیں، اکیلے جانے کی موٹیویشن نہیں ہوتی,"yaar gym saath chalte hain, akele jaane ki motivation nahi hoti"
ٹکٹ بک کرو ابھی ورنہ سیٹیں فل ہو جائیں گی، بہت ڈیمانڈ ہے,"ticket book karo abhi warna seats full ho jaayengi, bahut demand hai"
کنسرٹ کے ٹکٹس بالکل بک گئے، پھر بھی ٹرائی کرو ریسیل پہ,"concert ke tickets bilkul bik gaye, phir bhi try karo resale pe"
آن لائن ٹکٹ لینا ٹھیک ہے لیکن فیک سائٹس سے بچو,online ticket lena theek hai lekin fake sites se bacho
ٹرین ٹکٹ کینسل کرنی ہے اور ریفنڈ لینا ہے کیسے ہو گا,train ticket cancel karni hai aur refund lena hai kaise hoga
موویز کا ٹکٹ لیا تھا لیکن مووی ہی کینسل ہو گئی، پیسے واپس ملے کیا,"movie ka ticket liya tha lekin movie hi cancel ho gayi, paise waapis mile kya"
فون ری اسٹارٹ کرو ایک بار، بہت سی اشوز ایسے ہی ٹھیک ہو جاتی ہیں,"phone restart karo ek baar, bohot si issues aise hi theek ho jaati hain"
سسٹم ری اسٹارٹ کِیا تو اپڈیٹ بھی اپلائی ہو گئی اور سپیڈ بھی بڑھی,system restart kiya to update bhi apply ho gayi aur speed bhi badhi
ایپ بند کر کے ری اسٹارٹ کرو، شاید میموری لیک ٹھیک ہو جائے,"app band karke restart karo, shayad memory leak theek ho jaaye"
روٹر ری اسٹارٹ کرنا پڑے گا، وائی فائی کسی کو نہیں مل رہا گھر میں,"router restart karna padega, wifi kisi ko nahi mil raha ghar mein"
ڈیلی ری اسٹارٹ کرو فون کو ورنہ لیگ ہو جاتا ہے کافی جلدی,daily restart karo phone ko warna log ho jaata hai kafi jaldi
سسٹم کریش ہو گیا بیچ میں اور سارا کام ایک دم سے چلا گیا,system crash ho gaya beech mein aur sara kaam ek dum se chala gaya
گیم کریش ہوتی رہتی ہے، ڈرائیورز اپڈیٹ کرو شاید ٹھیک ہو,"game crash hoti rehti hai, drivers update karo shayad theek ho"
جب بھی ہیوی ٹاسک چلاتا ہوں تو لیپ ٹاپ کریش ہو جاتا ہے,jab bhi heavy task chalaata hun to laptop crash ho jaata hai
کریش سے پہلے کوئی وارننگ نہیں آئی، بس بند ہو گیا اچانک,"crash se pehle koi warning nahi aayi, bas band ho gaya achanak"
پاسورڈ مت بھولنا اِس اکاؤنٹ کا، بڑے مشکل سے سیٹ کِیا تھا,"password mat bhoolna is account ka, bade mushkil se set kiya tha"
اسٹرانگ پاسورڈ وہ ہوتا ہے جس میں لیٹرز، نمبرز اور سمبلز ہوں,"strong password woh hota hai jis mein letters, numbers aur symbols hon"
اُس نے اپنا پاسورڈ شیئر کِیا تھا مجھ سے اور اب چینج کرنا چاہتا ہے,usne apna password share kiya tha mujhse aur ab change karna chahta hai
ایک ہی پاسورڈ سب جگہ مت استعمال کرو، الگ الگ رکھو سکیورٹی کے لیے,"ek hi password sab jagah mat use karo, alag alag rakho security ke liye"
پاسورڈ مینیجر استعمال کرو یار، سب پاسورڈز یاد رکھنا مشکل ہے,"password manager use karo yaar, sab passwords yaad rakhna mushkil hai"
پاسورڈ رانگ بار بار ہو رہا ہے، اکاؤنٹ لاک نہ ہو جائے,"password wrong baar baar ho raha hai, account lock na ho jaaye"
سرور ڈاؤن ہے اِس لیے ویب سائٹ کام نہیں کر رہی ابھی,server down hai isliye website kaam nahi kar rahi abhi
سرور کا رسپانس ٹائم بہت زیادہ ہے، کچھ آپٹیمائز کرنا پڑے گا,"server ka response time bahut zyada hai, kuch optimize karna padega"
ہمارا سرور کریش ہوا تھا کل رات، ٹیک ٹیم نے فکس کر دیا,"hamara server crash hua tha kal raat, tech team ne fix kar diya"
سرور میں اسپیس ختم ہو رہی ہے، اولڈ ڈیٹا آرکائیو کرو,"server mein space khatam ho rahi hai, old data archive karo"
ڈاؤن لوڈ بہت سلو ہے، شاید نیٹ ورک اشو ہے یا سرور سائیڈ پرابلم,"download bahut slow hai, shayad network issue hai ya server side problem"
جو فائل ڈاؤن لوڈ کی تھی وہ کرپٹ نکلی، دوبارہ لو,"jo file download ki thi woh corrupt nikli, dobara lo"
ڈاؤن لوڈ کمپلیٹ ہونے میں ٹائم لگے گا، وائی فائی پہ لگا دو فون,"download complete hone mein time lagega, wifi pe lagaa do phone"
فری ورژن میں ڈاؤن لوڈ سپیڈ لمیٹڈ ہوتی ہے، پریمیم لو,"free version mein download speed limited hoti hai, premium lo"
ڈاؤن لوڈ فولڈر میں سب فائلیں مکس ہیں، آرگنائز کر لو,"download folder mein sab files mix hain, organize kar lo"
اپ لوڈ ہو رہی ہے فائل لیکن انٹرنیٹ سلو ہے اِس لیے ٹائم لگ رہا ہے,upload ho rahi hai file lekin internet slow hai isliye time lag raha hai
پہلے کمپریس کرو فائل کو پھر اپ لوڈ کرو، زیادہ فاسٹ ہو گی,"pehle compress karo file ko phir upload karo, zyada fast hogi"
یہ پلیٹ فارم 100 ایم بی سے بڑی فائلیں اپ لوڈ نہیں کرنے دیتا,yeh platform 100MB se badi files upload nahi karne deta
فوٹوز اپ لوڈ کرنے کی ضرورت نہیں ابھی، بعد میں کرتے ہیں,"photos upload karne ki zaroorat nahi abhi, baad mein karte hain"
جب آن لائن ہوتا ہوں تو نوٹیفکیشنز کا انبار لگ جاتا ہے,jab online hota hun to notifications ka anbar lag jaata hai
آن لائن کام اچھا ہے لیکن گھر پہ اکیلے رہنا برا لگتا ہے,online kaam accha hai lekin ghar pe akela rehna bura lagta hai
کل سے آن لائن کلاسز شروع ہیں، لیپ ٹاپ چارج رکھنا,"kal se online classes shuru hain, laptop charge rakhna"
آن لائن پیمنٹ کرو تو ڈسکاؤنٹ ملتا ہے اِس ایپ پہ,online payment karo to discount milta hai is app pe
آن لائن انٹرویو میں اتنا گھبراؤ مت، ریلیکس رہو,"online interview mein itna ghabbrao mat, relax raho"
آف لائن موڈ میں بھی کام کرتا ہے یہ ایپ، نیٹ کی ضرورت نہیں,"offline mode mein bhi kaam karta hai yeh app, net ki zaroorat nahi"
آف لائن ہو جاتا ہوں تو میسجز بعد میں ملتے ہیں جب نیٹ آتا ہے,offline ho jaata hun to messages baad mein milte hain jab net aata hai
اگر آف لائن اسٹوریج میں سیو کر لو تو نیٹ کے بنا بھی دیکھ سکتے ہو,agar offline storage mein save kar lo to net ke bina bhi dekh sakte ho
یہ ڈاکیومنٹ آف لائن بھی ایڈٹ ہو سکتا ہے، سنک بعد میں ہوتی ہے,"yeh document offline bhi edit ho sakta hai, sync baad mein hoti hai"
آف لائن رہتا ہوں زیادہ آج کل، سوشل میڈیا سے تھک گیا ہوں,"offline rehta hun ziyada aaj kal, social media se thak gaya hun"
سفر میں آف لائن ہو جاتا ہوں، پہلے سے ڈاؤن لوڈز کر لو ضروری چیزیں,"safar mein offline ho jaata hun, pehle se downloads kar lo zaruri cheezein"
چیٹ میں سیریس بات کرنا مشکل ہوتا ہے، میٹ کرو یا کال کرو,"chat mein serious baat karna mushkil hota hai, meet karo ya call karo"
گروپ چیٹ میں اتنے میسجز آتے ہیں کہ پڑھے نہیں جاتے,group chat mein itne messages aate hain ke padhe nahi jaate
ریندم چیٹ ایپس سے دور رہو، سیف نہیں ہوتے اکثر,"random chat apps se door raho, safe nahi hote aksar"
کسی سے بات کرنی ہو تو چیٹ سے زیادہ کال بہتر ہے,kisi se baat karni ho to chat se zyada call behtar hai
ویڈیو کال کرتے ہیں شام کو، سب لوگ فری ہوں گے تب تک,"video call karte hain shaam ko, sab log free honge tab tak"
یہ ویڈیو 4K میں ہے اِس لیے سائز بڑا ہے اور اپ لوڈ سلو ہے,yeh video 4K mein hai isliye size bada hai aur upload slow hai
کلاس کی ریکارڈنگ ہے کیا، ویڈیو بھیج دو جو مس ہوا وہ دیکھ لوں,"class ki recording hai kya, video bhej do jo miss hua woh dekh lun"
بنا وائی فائی کے ویڈیو اسٹریم کرنا بہت ڈیٹا کھاتا ہے، دھیان رکھو,"bina wifi ke video stream karna bohot data khaata hai, dhyan rakho"
جو ویڈیو شیئر کی تھی اُس نے، پرائیویٹ کر دی ہے اب، نہیں دکھ رہی,"jo video share ki thi usne, private kar di hai ab, nahi dikh rahi"
آڈیو کال پہ کلیر نہیں آئی آواز، نیٹ ورک ویک تھا شاید,"audio call pe clear nahi aayi awaaz, network weak tha shayad"
آڈیو فائل بھیجی ہے اُس نے، ڈاؤن لوڈ کر کے سنو,"audio file bheji hai usne, download karke suno"
میٹنگ کی آڈیو ریکارڈنگ سیو کی ہے، سن کے نوٹس بنا لینا,"meeting ki audio recording save ki hai, sun ke notes bana lena"
ہیڈ فونز سے سنو آڈیو، اسپیکرز پہ سب سن لیتے ہیں ارد گرد,"headphones se suno audio, speakers pe sab sun lete hain around"
فائل بھیجی تھی میں نے لیکن اُس نے بولا ریسیوڈ نہیں ہوا، دوبارہ بھیجو,"file bheji thi maine lekin usne bola received nahi hua, dobara bhejo"
یہ فائل اوپن نہیں ہو رہی، شاید سافٹ ویئر نہیں ہے اِس فارمیٹ کا,"yeh file open nahi ho rahi, shayad software nahi hai is format ka"
ساری فائلیں ایک جگہ آرگنائز کرو ورنہ ڈھونڈتے رہ جاؤ گے,sari files ek jagah organize karo warna dhundte reh jaoge
فائل سائز بہت بڑی ہے، کمپریس کرو یا اسپلٹ کرو,"file size bahut badi hai, compress karo ya split karo"
ایک الگ فولڈر بناؤ اِن فوٹوز کے لیے ورنہ مکس ہو جائیں گی,ek alag folder banao in photos ke liye warna mix ho jaayengi
ڈیسک ٹاپ پہ اتنے فولڈرز ہیں کہ کچھ ڈھونڈنا مشکل ہو گیا ہے,desktop pe itne folders hain ke kuch dhundna mushkil ho gaya hai
سب پروجیکٹس کے الگ الگ فولڈرز رکھو، کام آسان ہو جاتا ہے,"sab projects ke alag alag folders rakho, kaam asaan ho jaata hai"
جو فولڈر ڈیلیٹ کِیا تھا وہ ری سائیکل بن میں ابھی بھی ہے,jo folder delete kiya tha woh recycle bin mein abhi bhi hai
سسٹم سلو ہے کیونکہ بیک گراؤنڈ میں کافی پروسیسز چل رہی ہیں,system slow hai kyunki background mein kaafi processes chal rahi hain
آپریٹنگ سسٹم اپڈیٹ کرنا ضروری ہے سکیورٹی کے لیے,operating system update karna zaroori hai security ke liye
سسٹم میں کوئی وائرس آ گیا ہے، اینٹی وائرس چلاؤ ابھی,"system mein koi virus aa gaya hai, antivirus chalao abhi"
فون فارمیٹ کرنے سے پہلے بیک اپ ضرور لینا، سب ڈیٹا جائے گا,"phone format karne se pehle backup zarur lena, sab data jaayega"
ہارڈ ڈرائیو فارمیٹ کرنے کی ضرورت ہے، وائرس بہت ہے اُس میں,"hard drive format karne ki zaroorat hai, virus bahut hai usme"
فارمیٹ کے بعد سب فریش لگتا ہے لیکن ایپس دوبارہ انسٹال کرنی پڑتی ہیں,format ke baad sab fresh lagta hai lekin apps dobara install karni padti hain
موبائل کی اسکرین کریک ہو گئی، ریپیئر شاپ پہ جاؤ یا آن لائن آرڈر کرو کور,"mobile ki screen crack ho gayi, repair shop pe jao ya online order karo cover"
موبائل زیادہ استعمال کرنا آنکھیں خراب کرتا ہے، اسکرین ٹائم لمٹ کرو,"mobile zyada use karna ankhen kharab karta hai, screen time limit karo"
موبائل ڈیٹا ختم ہو گیا، وائی فائی سے کام چلاؤ گھر پہ,"mobile data khatam ho gaya, wifi se kaam chalao ghar pe"
نیا موبائل لینا ہے لیکن بجٹ میں فٹ نہیں آ رہا کوئی اچھا,naya mobile lena hai lekin budget mein fit nahi aa raha koi accha
فون گم ہو گیا تھا، فائنڈ مائی ڈیوائس پہ ٹریک کِیا اور مل گیا,"phone gum ho gaya tha, find my device pe track kiya aur mil gaya"
فون رات کو سائلنٹ پہ رکھنا چاہیے ورنہ نیند خراب ہوتی ہے,phone raat ko silent pe rakhna chahiye warna neend kharab hoti hai
دونوں ہاتھ فری کرنے کے لیے فون اسٹینڈ پہ رکھ لو,dono hath free karne ke liye phone stand pe rakh lo
فون چارج پہ لگا دو، 10٪ بچی ہے بیٹری، ختم ہو جائے گی,"phone charge pe lagaa do, 10% bachi hai battery, khatam ho jaayegi"
فاسٹ چارج سپورٹ کرتا ہے یہ فون، ایک گھنٹے میں فل ہو جاتا ہے,"fast charge support karta hai yeh phone, ek ghante mein full ho jaata hai"
چارجر نہیں ملا، کسی سے مانگو ورنہ فون آف ہو جائے گا سفر میں,"charger nahi mila, kisi se maango warna phone off ho jaayega safar mein"
وائرلیس چارج بہت سلو ہوتی ہے کیبل سے زیادہ، ویٹ کرنا پڑتا ہے,"wireless charge bahut slow hoti hai cable se zyada, wait karna padta hai"
بیٹری ہیلتھ 70٪ تک آ گئی ہے، اب ریپلیس کرنی پڑے گی,"battery health 70% tak aa gayi hai, ab replace karni padegi"
اگر برائٹنس کم رکھو تو بیٹری بہت زیادہ ٹائم چلتی ہے,agar brightness kam rakho to battery bahut zyada time chalti hai
بیک گراؤنڈ ایپس بند کرو، یہی بیٹری سب سے زیادہ کھاتی ہیں,"background apps band karo, yahi battery sabse zyada khaati hain"
بیٹری سیور موڈ آن کر لو، کافی گھنٹے کا ایکسٹرا ٹائم ملے گا,"battery saver mode on kar lo, kafi ghante ka extra time milega"
اِس فون کی بیٹری اتنی بری ہے کہ دِن میں دو بار چارج کرنا پڑتا ہے,is phone ki battery itni buri hai ke din mein do baar charge karna padta hai
رات بھر چارجر سے لگا کے سوئے تو بیٹری ہیلتھ خراب ہوتی ہے,raat bhar charger se laga ke soye to battery health kharab hoti hai
نیٹ ورک بہت سلو ہے آج، شاید ٹاور پہ پرابلم ہے ایریا میں,"network bahut slow hai aaj, shayad tower pe problem hai area mein"
نیٹ ورک سوئچ کرو 4G پہ، 5G ابھی اِس ایریا میں اسٹیبل نہیں,"network switch karo 4G pe, 5G abhi is area mein stable nahi"
آفس کا نیٹ ورک سکیور ہے، پرسنل کام کے لیے اپنا ڈیٹا استعمال کرو,"office ka network secure hai, personal kaam ke liye apna data use karo"
جب نیٹ ورک ویک ہوتا ہے تو کالز ڈراپ ہو جاتی ہیں بات بات پہ,jab network weak hota hai to calls drop ho jaati hain baat baat pe
وی پی این سے نیٹ ورک سلو ہو جاتا ہے لیکن پرائیویسی کے لیے ضروری ہے,VPN se network slow ho jaata hai lekin privacy ke liye zaroori hai
نیٹ ورک سیٹنگز ری سیٹ کرو، شاید کنیکٹیویٹی ٹھیک ہو جائے,"network settings reset karo, shayad connectivity theek ho jaaye"
سگنل اتنا ویک ہے کہ کال بار بار کٹ ہو رہی ہے,signal itna weak hai ke call baar baar cut ho rahi hai
اِس بلڈنگ کے اندر سگنل بالکل نہیں آتا، وائی فائی کالنگ استعمال کرو,"is building ke andar signal bilkul nahi aata, wifi calling use karo"
پہاڑوں پہ جاؤ گے تو سگنل نہیں ملے گا، پہلے سب بتا دو سب کو,"pahaadon pe jaoge to signal nahi milega, pehle sab bata do sabko"
سگنل بار دیکھتے رہنا بھی فالتو کام ہے، کچھ نہیں بدلے گا اِس سے,"signal bar dekhte rehna bhi faltu kaam hai, kuch nahi badlega isse"
یہاں سگنل نہیں ہے، باہر چلو تھوڑا کال پہ بات کرتے ہیں,"yahan signal nahi hai, bahar chalo thoda call pe baat karte hain"
یہ ایپ انسٹال کرو پہلے پھر لاگ ان کرو اپنے اکاؤنٹ سے,yeh app install karo pehle phir login karo apne account se
انسٹال کرنے کے لیے اسپیس چاہیے، پرانی ایپس ڈیلیٹ کرو,"install karne ke liye space chahiye, purani apps delete karo"
اینٹی وائرس انسٹال کرو لیپ ٹاپ پہ، بہت ضروری ہے آج کل,"antivirus install karo laptop pe, bahut zaroori hai aaj kal"
ڈرائیور انسٹال کرنا پڑے گا پہلے، ڈیوائس ریکگنائز نہیں ہو رہا,"driver install karna padega pehle, device recognize nahi ho raha"
یہ ایپ اَن انسٹال کرو، اسٹوریج ضائع ہو رہی ہے اور کام بھی نہیں آتی,"yeh app uninstall karo, storage waste ho rahi hai aur kaam bhi nahi aati"
اَن انسٹال کر کے دوبارہ انسٹال کرو، شاید بگ فکس ہو جائے اپڈیٹ میں,"uninstall karke dobara install karo, shayad bug fix ho jaaye update mein"
جو ایپس استعمال نہیں ہوتیں اُنہیں اَن انسٹال کرو، فون فاسٹ ہو جاتا ہے,"jo apps use nahi hoti unhe uninstall karo, phone fast ho jaata hai"
اَن انسٹال کِیا تھا لیکن ڈیٹا ابھی بھی ہے فون میں، کیشے کلیر کرو,"uninstall kiya tha lekin data abhi bhi hai phone mein, cache clear karo"
فورس اَن انسٹال نہیں ہو گا یہ ایپ، ایڈمن پرمیشنز چاہیے اِس کے لیے,"force uninstall nahi hoga yeh app, admin permissions chahiye iske liye"
لاگ ان کرو پہلے اکاؤنٹ میں، ورنہ فیچرز نہیں ملیں گے پورے,"login karo pehle account mein, warna features nahi milenge poore"
لاگ ان نہیں ہو رہا، پاسورڈ ری سیٹ کرو ورنہ سپورٹ سے کانٹیکٹ کرو,"login nahi ho raha, password reset karo warna support se contact karo"
آٹو لاگ ان بند کرو پبلک کمپیوٹر پہ، سیف نہیں ہوتا,"auto login band karo public computer pe, safe nahi hota"
نئے ڈیوائس پہ لاگ ان کِیا تو OTP آتا ہے ویریفائی کرنے کے لیے,new device pe login kiya to OTP aata hai verify karne ke liye
لاگ ان ہسٹری چیک کرو، کوئی اور تو اکسیس نہیں کر رہا اکاؤنٹ,"login history check karo, koi aur toh access nahi kar raha account"
لاگ آؤٹ کرو سب ڈیوائسز سے، اکاؤنٹ سکیورٹی کے لیے ضروری ہے,"logout karo sab devices se, account security ke liye zaroori hai"
دوسرے کا فون استعمال کرو تو کام کے بعد لاگ آؤٹ ضرور کرو,dusre ka phone use karo to kaam ke baad logout zarur karo
لاگ آؤٹ بٹن نہیں دکھ رہا، پروفائل سیٹنگز میں دیکھو,"logout button nahi dikh raha, profile settings mein dekho"
ایپ نے آٹومیٹیکلی لاگ آؤٹ کر دیا، سکیورٹی پالیسی ہے شاید,"app ne automatically logout kar diya, security policy hai shayad"
لاگ آؤٹ ہونے کے بعد بھی نوٹیفکیشن آ رہے ہیں، کچھ اشو ہے,"logout hone ke baad bhi notification aa rahe hain, kuch issue hai"
اکاؤنٹ ہیک ہو گیا، ابھی پاسورڈ چینج کرو اور لاگ آؤٹ کرو سب سے,"account hack ho gaya, abhi password change karo aur logout karo sab se"
نیا اکاؤنٹ بنانا چاہتا ہوں لیکن پتہ نہیں کون سا ای میل استعمال کروں,new account banana chahta hun lekin pata nahi kaunsa email use karun
اکاؤنٹ سے لنکڈ نمبر چینج کرنا ہے، کیسے ہو گا یہ پروسیس,"account se linked number change karna hai, kaise hoga yeh process"
ایک سے زیادہ اکاؤنٹ ایک ڈیوائس پہ نہیں چلا سکتے اِس ایپ میں,ek se zyada account ek device pe nahi chalaa sakte is app mein
پروفائل پکچر چینج کرو، وہی 5 سال پرانی فوٹو ہے ابھی بھی,"profile picture change karo, wahi 5 saal purani photo hai abhi bhi"
پروفائل میں صحیح انفارمیشن ڈالو، پبلک ہے یہ,"profile mein sahi information daalo, public hai yeh"
پرائیویسی سیٹنگز میں جاؤ، پروفائل کو پرائیویٹ کرو اگر چاہتے ہو,"privacy settings mein jaao, profile ko private karo agar chahte ho"
اُس نے اپنا پروفائل ڈیلیٹ کر دیا، اب کچھ بھی نہیں ہے اُس کا وہاں,"usne apna profile delete kar diya, ab kuch bhi nahi hai uska wahan"
یہ پوسٹ شیئر مت کرو سب کے ساتھ، کچھ لوگوں کو برا لگے گا,"yeh post share mat karo sab ke sath, kuch logo ko bura lagega"
اُس نے جو پوسٹ کی تھی وہ وائرل ہو گئی، ہزاروں لائکس آ گئے,"usne jo post ki thi woh viral ho gayi, hazaron likes aa gaye"
کوئی بھی پوسٹ کرنے سے پہلے دو بار سوچو، انٹرنیٹ پہ سب رہتا ہے ہمیشہ,"koi bhi post karne se pehle do baar socho, internet pe sab rehta hai hamesha"
آج کل اُس کی پوسٹس پہ بہت کمنٹس آتے ہیں، پاپولر ہو گیا ہے,"aaj kal uski posts pe bahut comments aate hain, popular ho gaya hai"
پوسٹ شیڈول کر سکتے ہو اگر ابھی اپ لوڈ نہیں کرنا چاہتے,post schedule kar sakte ho agar abhi upload nahi karna chahte
یہ آرٹیکل شیئر کرو اپنے دوستوں کے ساتھ، یوزفل ہے کافی,"yeh article share karo apne doston ke saath, useful hai kaafi"
شیئر کرنے سے پہلے چیک کرو کہ فیک نیوز تو نہیں ہے,share karne se pehle check karo ke fake news to nahi hai
فائل شیئر کرنی ہو تو گوگل ڈرائیو استعمال کرو، ای میل پہ بھاری نہیں جائے گی,"file share karna ho to google drive use karo, email pe bhari nahi jaayegi"
اسکرین شیئر کر کے دکھاؤ، سمجھانا مشکل ہو رہا ہے صرف بات سے,"screen share karke dikhao, samjhana mushkil ho raha hai sirf baat se"
یہ فوٹو اتنی اچھی ہے کہ سب نے لائک کِیا، کمنٹس بھی بہت آئے,"yeh photo itni achi hai ke sab ne like kiya, comments bhi bahut aaye"
پوسٹ کو لائک کرو اور شیئر بھی کرو اگر یوزفل لگا,post ko like karo aur share bhi karo agar useful laga
